Domain,Class
100percentfedup.com,low
100percentfedup.com,high
10news.one,low
12minutos.com,low
12news.com,high
21stcenturywire.com,low
369news.net,low
38north.org,high
3ccorp.net,low
5stellenews.com,low
680news.com,high
70news.wordpress.com,low
79days.news,low
911Truth.org,low
9news.com,high
a.msn.com,high
aaas.org,high
aap.org,high
aapsonline.org,low
abc.net.au,high
abc7ny.com,high
abcbusinessnews.com,low
abcnews.com.co,low
abcnews.go.com,high
abovetopsecret.com,low
abruzzoweb.it,low
abs-cbn.com,high
accademiadellaliberta.blogspot.com,low
acpeds.org,low
acting-man.com,low
actionnews3.com,low
activistmommy.com,low
activistpost.com,low
adaa.org,high
adamscountytimes.com,low
addictinginfo.org,low
additudemag.com,high
adessobasta.org,low
adflegal.org,low
adnkronos.com,high
adweek.com,high
ae911truth.org,low
afa.net,low
affaritaliani.it,high
afp.com,high
ageofautism.com,low
agerpres.ro,high
agi.it,high
ahtribune.com,low
aifa.gov.it,high
aim4truth.org,low
aip.org,high
airforcetimes.com,high
airspacemag.com,high
ajaonline.org,high
ajph.aphapublications.org,high
ajuanews.com,low
albawaba.com,low
allenbwest.com,low
allenbwest.com,high
allenwestrepublic.com,low
allianceforadvancedhealth.com,low
allianceforscience.cornell.edu,high
allnewspipeline.com,low
almasdarnews.com,low
alphanewsmn.com,low
alternativenews.com,low
althealthworks.com,low
alt-market.com,low
altrarealta.blogspot.com,low
altright.com,low
ama-assn.org,high
america.cgtn.com,low
americadaily.com,low
americamaxnews.com,low
americanactionnews.com,low
americanconservativemedia.com,low
americandigitalnews.com,low
americanfreepress.net,low
americanjournalreview.com,low
americanlookout.com,low
americanmilitarynews.com,high
americannews.com,low
americannewsx.com,low
americanpatriotdaily.com,low
americanpeopledaily.com,low
americanprinciplesproject.org,low
americansarepissed.com,low
americanscientist.org,high
americansfortruth.com,low
americanthinker.com,low
americanthinker.com,high
americantoday.news,low
americantruthtoday.com,low
americasfreedomfighters.com,low
americasfrontlinedoctors.com,low
americasnewssource.com,low
americatalks.com,low
amityunderground.com,low
amplifyingglass.com,low
amren.com,low
amtvmedia.com,low
analyzingamerica.org,low
ancient-code.com,low
ancient-origins.net,low
anh-usa.org,low
anonews.co,low
anonhq.com,low
ansa.it,high
answersingenesis.org,low
antelopevalleytoday.com,low
apa.org,high
apnews.com,high
apost.com,low
aps.org,high
apsa.org,high
arabnews.com,low
archaeology.org,high
archaeology-world.com,low
asia-pacificresearch.com,low
assassinationscience.com,low
astronomy.com,high
auburntimes.com,low
aurorasito.wordpress.com,low
australiannationalreview.com,low
autisminvestigated.com,low
autismspeaks.org,low
autisticadvocacy.org,high
avoiceformen.com,low
avvenire.it,high
awm.com,low
backroombuzz.com,low
baldwintimes.com,low
ballotpedia.org,high
bannedinformation.com,low
barenakedislam.com,low
basnews.com,low
bb4sp.com,low
bbc.co.uk,high
bbc.com,high
bbc.in,high
bdnews24.com,low
beforeitsnews.com,low
bentontimes.com,low
bestdailynews.info,low
bigamericannews.com,low
bigleaguepolitics.com,low
billionbibles.org,low
bio.org,high
biomedcentral.com,high
bipartisanreport.com,low
bipartisanreport.com,high
bitchute.com,low
bizpacreview.com,high
bjreview.com,low
blackeyepolitics.com,low
blackgenocide.org,low
blacknews.com,low
blackpigeonspeaks.com,low
blingnews.com,low
bloomberg.com,high
bluedotdaily.com,low
bluenationreview.com,low
bluenationreview.com,high
bluntforcetruth.com,low
bmj.com,high
bnonews.com,high
bongino.com,low
bossip.com,low
breaking911.com,low
breakingchristiannews.com,low
breakingfirst.com,low
breakingnews247.net,low
breakingnewshouse.com,low
breakingwide.com,low
breaknotizie.com,low
breitbart.com,low
breitbart.com,high
bridgemi.com,high
bridgeporttimes.com,low
britainfirst.org,low
britannica.com,high
burrardstreetjournal.com,low
businessinsider.com,high
buzzfeed.com,high
byoblu.com,low
cair.com,low
caixinglobal.com,low
caldronpool.com,low
callthecops.net,low
canadafreepress.com,low
cap-news.com,low
catenaumana.it,low
cbc.ca,high
cbsnews.com,high
cdc.gov,high
cdt.ch,high
cei.org,low
centennialstatenews.com,low
centerforsecuritypolicy.org,low
centralcoloradonews.com,low
centraloctimes.com,low
cernovich.com,low
channel-7-news.com,low
checkpointasia.net,low
chicotimes.com,low
chinadaily.com.cn,low
christianaction.org,low
christiantimes.com,low
christwire.org,low
chronicle.su,low
churchmilitant.com,low
cicap.org,high
civictribune.com,low
clarionproject.org,low
clashdaily.com,low
clickhole.com,low
climateactiontracker.org,high
climatecentral.org,high
climatefeedback.org,high
climatesciencewatch.org,high
cloverchronicle.com,low
cnb.cx,high
cnet.com,high
cnn.com,high
coachellatoday.com,low
coasttocoastam.com,low
cochrane.org,high
coconinonews.com,low
coelum.com,high
collective-evolution.com,low
comedonchisciotte.org,low
compressamente.blogspot.com,low
concernedwomen.org,low
conoscenzealconfine.it,low
consciouslifenews.com,low
conservapedia.com,low
conservativeammo.com,low
conservativebeaver.com,low
conservativebuzz.com,low
conservativebyte.com,low
conservativedailynews.com,low
conservativedailypost.com,low
conservativefiringline.com,low
conservativefreepress.com,low
conservativematrix.com,low
conservativemedia.com,low
conservativeoutfitters.com,low
conservativepost.com,low
conservativereview.com,high
conservativetoday.org,low
conservativetribune.com,low
constitutionstatenews.com,low
consumerlab.com,high
corriere.it,high
corrieredelcorsaro.it,low
corvelva.it,low
cosmosmagazine.com,high
countdowntozerotime.com,low
counterpsyops.com,low
crainsdetroit.com,high
creambmp.com,low
crooksandliars.com,high
csmonitor.com,high
c-span.org,high
ctvnews.ca,high
dailybuzzlive.com,low
dailycaller.com,high
dailycurrant.com,low
dailyheadlines.net,low
dailykos.com,high
dailymail.co.uk,high
dailynewsbin.com,low
dailynewsbin.com,high
dailypoliticalnewswire.com,low
dailyrecord.com,high
daily-screen.com,low
dailystar.co.uk,low
dailystormer.com,low
dailystormer.name,low
dailywire.com,high
dcalert.com,low
dcbluedot.com,low
dcclothesline.com,low
dcdirtylaundry.com,low
dcgazette.com,low
debka.com,low
decaturtimes.com,low
deepleftfield.info,low
defendevropa.org,low
defiantamerica.com,low
democrats.org,low
demyx.com,low
denvercitywire.com,low
denverguardian.com,low
departed.co,low
deplorablekel.com,low
derfmagazine.com,low
dianalanciotti.it,low
direttanews24.com,low
disabilityscoop.com,high
disclose.tv,low
discovermagazine.com,high
discoverthenetworks.org,low
disinformazione.it,low
djhjmedia.com,low
dnyuz.com,low
