screen_name,score
0bj3ctivity,0.9612
James69888,0.9950
bluemedia68,0.5700
Cara_TXZEAL,0.9973
IWPCHI,0.9748
MedicalScitech,0.7652
SecretNews,0.9989
HHV6_University,0.9948
AmericaRising17,0.9981
benusa567,0.9804
shalomegrace1,0.9988
rob_miller12345,Error
LiWenliangAHero,0.5699
BillyBostickson,0.7366
Harvard2H,Error
lekh27,0.9184
costellodaniel1,0.9991
manifesto2000,0.8653
TinfoilTricorn,0.9990
KZPetro,0.9946
owhy3,0.9644
FEF737,0.9572
wester_sou,0.9970
canisgallicus,0.9074
himderfella,0.9071
turnbolt11,1.0000
upuouo,0.9075
owldom,0.9986
EvaSiu21,0.9964
ClausDrastrup1,0.8834
keithpp,0.9949
kuriousmind93,0.3086
AlexandraLeslie,0.0529
altcensored,0.9984
RealDavidJensen,0.8704
Cecalli_Helper,0.7444
Merkabah31,1.0000
rlamartini,0.9995
BettGunther,0.9869
Gummbyman32,0.9792
Theshells1111,0.9995
Daoyu15,0.0159
8simon9,0.9997
scotpolitik,0.9902
BanShariaUSA,0.9557
leene50,0.7186
NikitaKitty,0.9930
LJT_is_me,0.9561
TheWuhanClan,0.9989
bladerunner3049,0.9895
david_barth,0.9995
wakoppa,0.9930
MaryamHenein,Error
toxicreverend,0.9966
5151mpk,0.9993
erlhel,0.2914
changeworld2,0.9949
bprophetable,0.6263
Zinnia1111,0.9956
FatEmperor,0.9996
EndUKLockdown1,0.9379
GraviolaDOTfi,0.8901
inklessPW,0.9923
GQ802,0.5821
CyrusShares,0.7983
badiucao,0.6630
LetsStopTheLies,0.9983
GordBolton,0.9996
EdgeLithium,0.9652
SoCalValleyGal,0.9975
40yearsyoung1,0.9982
aHEMandias,0.7859
AegisBridge,0.0257
DanielJuniorthe,0.9998
tiniskwerl,0.2194
NetworksManager,0.9944
PhyIis,0.8375
freedomgirl2011,0.9946
1taiwantalk,0.9911
dandaman4us,0.9991
BooSoonYew67,0.0131
FreeD_West,0.2879
LionTedPride,0.9960
statisticsphd,0.9985
Sheeple101,0.7112
jasonbaum,0.4470
felixdennis123,0.9991
AlexBC997,0.9999
Evie_Calling,0.9989
RogowskiBubba,0.9991
MarkPlackett1,0.7841
LiuBaoBei1,0.9293
ScepticalAussie,0.7255
alicewho66,Error
Equateall,0.9845
thisbuerge,Error
jen95873143,0.9963
SemperArgentum,0.9999
Anonylyzer13,0.9991
MontyBoa99,0.9952
JaxFaux,Error
StevenW69808657,Error
AmastrisDratwka,0.8982
paintsandsings,0.9960
AjitsinhJagirda,0.9227
KindeandTrue,0.9839
k_helca,0.9801
NewMumOnline,0.9964
Anxie_TEA,0.9489
JonahofNinevah,Error
Musso___,0.4704
Mariebe10098426,0.9993
ThomasWelch15,0.9974
Warnzwifey,1.0000
MaralynBurstein,0.9867
JohnTheWhite1,0.7281
PMcf12,0.9978
ConchaTacoLady,0.9999
peel_ny,0.9976
Lkseng3,0.4895
menalahy,0.9864
alexis3391,0.0440
powerglobalus,0.9988
Ms_S1954,0.9708
js100js100,0.9945
utopianindigent,0.9996
luigi_warren,0.9981
FanmatisseB,0.6936
rhiles2760,0.9825
Reprobate24,0.9982
EYEofPROVENANCE,0.9998
TeriCBrownUGA,0.9945
BillTufts,0.9994
myknittingwool,0.2107
Hope314342,0.5189
Kirky861,1.0000
VOTINGindepend,0.9470
Pravduh15,0.6202
YossiGestetner,0.9979
ThatVDOVault,0.3983
ana_captures,0.9312
RJ_Phoenix16,0.9997
JamieRJN,0.8215
LeeiaLH,1.0000
RayneNGrace,0.9983
4ReUnitedStates,0.9638
hawkins_carole,0.8053
filipowi,0.9824
moamerasumitro,0.8314
Maggie53211,0.9999
SimonYstwyth,0.9974
MelissaSweetDr,0.7946
FredWilliams77,1.0000
1foreverseeking,1.0000
QuinntisG,0.4346
pmagn,0.6918
JuliaWraith,0.9980
GailCoastie,0.9238
lindaleblanc111,0.9944
ketaminh,0.9071
MongrelGlory,0.9994
Barbarajdurkin,0.9970
puffnblow_at_GP,0.9997
LgSOS,0.9441
galottom,0.9185
Fran_Neena20409,0.6017
drea_ams,0.9923
denver_mccomb,0.8763
JohnSmith872987,0.8751
secretspartacus,0.9862
joannachiu,0.6783
flowermusickids,0.3928
2dedostesta,0.6165
davegreenidge57,0.3058
notgoodinternet,Error
AudioCode3,0.9990
lsorprendido,0.9967
YonSolitary,Error
Si_or_just_Si,1.0000
JaninaSimons,Error
yourspenfully,0.9994
Iwontcalmdown,0.9999
hichachu,0.0175
edeysal,0.9599
Astrologic007,0.9070
LonsdaleKeith,0.9995
les_deplorable,Error
Starbright489,0.7693
Sortex,0.7823
Brandi_Autumn,0.9992
OldSaltCityAce,0.9946
NorthBelle4,0.9966
askeamonn,0.9886
roy_lanek,Error
FenucciMiles,0.9915
OrangeVol1321,0.9050
Mark45dominic,0.7338
AlainPatrickM,0.9112
ArayAromaz,0.1190
PhilGreaves01,0.9813
GilbertAveugle,0.3430
_LoveMTB_,0.9751
tezisold,1.0000
