screen_name,score
matomecorona,0.8885
Host24Space,0.8369
CoronaVirusNFO,0.5208
naija_reports,0.0402
FR24NewsFrance,0.6446
NewsSaanvi,0.6467
Covid19Stat,0.1201
shopfle,0.4668
NbknewsC,0.8840
newsfilterio,0.3445
medicinehelp,0.0040
Sholyzee,0.3604
TheTop10News2,0.9891
rouutnews,0.7799
TimesEurope,0.3648
News__Poster,0.3928
1stIndiaNews,0.0021
lado_mx,0.1096
RadioQuo,0.5624
Notiziedi_it,0.1999
lasopa_news,0.0877
ExBulletinUk,0.2429
voiceofthehwy,0.3411
CoronaSpread,0.6488
MiddleEastTon,0.1967
COVIDLive,0.4703
zazoomnews,0.6058
InstantNewsPk,0.7547
tEconomics,0.1021
DolarToday,0.1602
somsirsa,0.1110
netvani1,0.0194
PortalDiarioAR,0.1611
MirageNewsCom,0.0673
schiphop30,0.5768
lehimesa,0.9177
redaccionmedica,0.8666
JavelinaBlue,0.2186
rouut,0.4945
newpaper24,0.1678
infoitesteri,0.8424
HindustanTimes,0.1576
openletterbot,0.9842
nigeriandailies,0.0352
NewsVerses,Error
uhiiman,0.9472
NewsCountryInd1,0.4348
JobsVacancyIN,0.7043
AfricaZilla,0.1617
DavidPolkingho9,0.0061
JornalDestak,0.0008
peppertalesllp,0.0319
iron1225,0.6690
Luxuryfurs1,0.9173
MediHelpWeb,0.6789
Radio420zw,0.5152
rifnote,0.6373
GoogleNewsPost,Error
RaghavS49394362,0.0153
FooooooMedia,0.0169
thomascarle,0.8864
removalman123,0.9657
websfavourites,0.9480
allaboutbelagav,0.0168
NewsNationGlob1,0.5699
FloLake,0.4281
AguluNwoke,0.1606
tempodotco,0.0055
thehill,0.7226
AlbertoRodNews,0.0872
maduradascom,0.4324
Automobilnews1,0.3651
NewsEverything_,0.6901
radiodogo,0.0399
thehawk,0.9173
Ancientbob,0.7190
bharianmy,0.0144
ReutersLatam,0.5166
El_Cooperante,0.0263
Simplenewsuk,0.1228
GulfHeadlines,0.5955
Italia_Notizie,0.6108
word_beyond,0.1892
baalat1,0.4658
nypost,0.0364
PTTVOnlineNews,0.0176
vanguardngrnews,0.2509
AWDwholesale,0.4869
monkey_viral,0.7080
4tmx3,0.4838
cnbcindonesia,0.4412
feedpushr,0.7229
covidnewsCH,0.9679
JstJayne,0.9764
realindiaherald,0.0278
COVID_Scale,0.6883
LigaAoFilipe,0.0076
bfm4440,0.2482
rosecolordglasz,0.6494
rthk_enews,0.1892
PeruNewsweek,0.1472
hazydav,0.9877
Muhabarishaji,0.6404
exitosape,0.3062
exitosape,0.3062
MichelGuenette3,0.6372
TOPNewsAT,0.4413
Patrikaidotcom,0.9602
ThanthiTV,0.0234
Opinionofanind2,0.0908
technews3601,0.0331
tv9kannada,0.0001
manoramaonline,0.5579
keloke_RD,0.8977
TPE_connect,0.4542
peru21noticias,0.2964
maalaimalar,0.0028
SinEmbargoTR,0.0371
Covid19_britain,0.9753
PmrTrg,0.0006
nigeriantribune,0.3112
diariocorreo,0.4296
IMLebanonNews,0.1176
diariocorreo,0.4296
kolikVylecenych,0.0017
DamianFallon2,Error
ambulsiva,0.9173
InformateMX,0.2007
ideastlaxcala,0.1066
Milenio,0.0217
ReportoCA,0.9113
XEVATabasco,0.4917
Dailyaddaa,0.0287
NR_abuaimal,0.0351
theunionjournal,0.2112
newsaryavart,0.0068
basebristol,0.2422
rgrus,0.0535
ESCoronavirus,0.9119
techjunkiejh,0.7237
ConLaGenteRos,0.2283
brainboredcom,0.4369
