screen_name,score
threadreaderapp,0.0956
badseedbook,0.8757
HopeLov93532949,0.7296
DonnaYoungDC,0.1725
WHO,0.5699
shiroihamusan,0.5509
V2019N,0.1465
forcemultstevea,0.9957
James69888,0.9993
LarryBoorstein,0.3155
SosNinosename1,0.0572
ForthepeopleF,0.1337
TraderStef,0.9891
KSD371,0.9921
Cara_TXZEAL,0.9997
bryonworks,0.1762
R_H_Ebright,0.8773
kals55,0.9899
kevinpurcell,0.1679
fascinatorfun,0.8435
DebbieSVA,0.9239
AlamoOnTheRise,0.8186
SBMcCallister,0.9582
deinhk,0.0561
AmericaRising17,0.9920
amna_news,0.0502
MomRovin,0.8043
WPatriot2,0.9421
rob_miller12345,Error
rocza,0.6513
LiWenliangAHero,0.8462
isawthesethings,0.4316
2020WriteIn,0.9205
TheCartHorse1,0.9999
PinkRabbit_106,0.8875
JTMLX,0.7865
Indounik,0.9231
Terrence_STR,0.5967
overseasdem,0.0217
sep_hk,0.3208
ai6yrham,0.7471
letmecheckcheck,0.1083
BillyBostickson,0.6547
TheSheepSayBaa,Error
Harvard2H,Error
WMN4SRVL,0.9914
linda72135856,0.6456
Noahpinion,0.3520
Spockarama,0.8948
MariaMgroz,0.9966
KrutikaKuppalli,0.4167
LOrion,0.8480
VictorB123,0.9999
Traveling_89,0.6745
EricSpurling1,0.9663
zorinaq,0.0471
IlindelatorreMD,0.0325
manifesto2000,0.9787
W7VOA,0.3201
TinfoilTricorn,0.9990
BrainScan2017,0.8397
Arthur59611540,0.0281
CitiBE,0.7603
Trinitydraco1,0.8612
stefaniaconti,0.2792
FordPrefect747,0.7186
Quicktake,0.4233
smartlyjoan,0.1125
Chris_F_Carson,0.9778
BregmanPs,0.4586
LauraMiers,0.8866
owhy3,0.9822
DrEricDing,0.6605
PureDemocracyNZ,0.9969
kid_prairie,0.1905
canisgallicus,0.5947
bouche_bee,0.5075
epsilon3141,0.0935
MaddyLove2018,0.7018
CarolynEast2,0.9508
turnbolt11,1.0000
upuouo,0.1738
ndtv,0.0477
latestly,0.0220
TimothyBigelow5,0.9998
fredwalton216,0.1658
Buckeye_Blue,0.5624
MesMitch,0.9834
DKthroughmyeyes,0.9967
RolandBakerIII,Error
coopesdetat,0.3398
kuriousmind93,0.3086
BestPhotos_HD,0.7939
VamosNadalClay,0.7523
ComradeMarx1,0.8862
mikecane,0.0410
AlexandraLeslie,0.0072
picardonhealth,0.8773
CarolForden,0.1276
bearlymade_it,0.9700
RealDavidJensen,0.8507
Cecalli_Helper,0.3126
Merkabah31,1.0000
rlamartini,0.9975
BettGunther,0.9869
Gummbyman32,0.9565
JulianSapp,0.9635
dvillella,0.8550
karenamyatt,Error
Daoyu15,0.0894
JoyJ69957841,0.9798
web_rant,0.7568
TimeToSayGood15,0.7899
LucioMM1,0.7399
ifindkarma,0.0596
gracehwang1970,0.0155
MackayIM,0.8266
leene50,0.8685
flamarri,0.0041
JoannaTeglund,0.9830
mcfunny,0.8428
Mathew94379832,0.9984
Qgirl50,0.7464
TheWuhanClan,0.6969
bladerunner3049,0.9824
the_resistor,0.7911
startupdaemon,0.0881
david4potus2020,0.0132
CamdenWatch,0.6850
wakoppa,0.9960
TigressEllie,0.8162
Gurdur,0.9800
mancunianmedic,0.8800
vSoutherner,Error
AlistairHaimes,0.6645
Wycked_Yum,0.9727
poiThePoi,0.8885
changeworld2,0.9949
MullingMueller,0.7578
bprophetable,0.6413
Beleafer1,0.9794
Zinnia1111,0.7086
BrandiLynn4Ever,0.9891
HenrikWallin3,Error
ghoeberx,0.0833
jeremyhsu,0.9932
implausibleblog,0.6226
nevancik1,0.8603
FatEmperor,0.9999
Bennythesnitch,0.4526
inklessPW,0.9339
GQ802,0.4814
Velofisch,0.8983
jj_talking,0.9975
JackPolakoff,0.9719
septian,0.0365
DrTonyLeachon,0.3317
NACREspirale,0.4311
Boyanbc,0.8046
YuriHiranuma,0.1002
SpeakTruth911,0.9994
Muschelschloss,0.2115
GordBolton,0.9494
CurtisSChin,0.0311
Nicholas8645113,0.8451
mtnbvan,0.9957
balajis,0.9708
Jayne720,0.8575
sheltgarner,0.9585
kakape,0.7892
EMG612,0.0372
lowrad57,0.0479
CarstenBKK,0.9739
Dan_Donovan_17,0.9922
SoCalValleyGal,0.4291
cbn2,0.6445
mgubrud,0.6649
HeikkiRay,0.5344
pwsimerimiaw,0.9685
paulburrer,0.9698
strategyrick,0.6884
BrianTBrown2,0.0264
DavidLWindt,0.9947
Mamaofthreebear,0.9329
Maestermagoo,0.7890
aHEMandias,0.8096
experimancer,0.2077
John15597078,0.9691
mwade69,0.9990
touchandtank,0.9962
murray_nyc,0.0575
PabloFuente,0.4623
drjawalsh,0.9959
DrTedros,0.9622
serenahrm,0.4878
Fly_Sistah,0.0304
SarahRosemary3,0.9296
_RL_W,0.5910
ChristosArgyrop,0.5429
joshmich,0.0940
DemFromCT,0.0171
evolutionarypsy,0.9418
ygjumi,0.6782
DrDenaGrayson,0.8869
BooSoonYew67,0.0077
getserious1234,0.2904
skyco_g,0.3228
colonialcountr3,0.4698
chenweihua,0.5006
veebee1010,0.9903
perdidostschool,0.1412
mark_melbin,0.8040
Just_Curius,0.5893
ananias_1979,0.0630
jasonbaum,0.3593
lawhawk,0.9146
drannehuang,0.3015
angie_keathly,0.9993
FLAHAULT,0.0386
B52Malmet,0.3246
felixdennis123,0.9990
micheal_olainn,0.7934
puffinbottom,0.9488
nethead,0.9556
goofrider,0.9631
BellaMax12,0.8060
ianjamesyoung70,0.8366
DWMcAliley1791,0.0961
KUWTAS,0.8512
Benito35ddDavis,0.9469
Emanate828,0.9605
AJackso63831215,0.9869
AstorAaron,0.9746
MarkPlackett1,0.3855
AnnabelleT53,Error
ungubunugu1274,0.9784
yaneerbaryam,0.1525
torrHL,0.8885
fabfashionista8,0.4459
supjackjack,0.0518
Thelast_try,Error
ScepticalAussie,0.3016
bml_khubbard,0.3909
abledoc,0.9334
Deus_Abscondis,0.9948
Equateall,0.9958
BoomChickaNow2,0.8579
lovemoz1,0.9787
JO112358,0.7917
zlj517,0.2326
berman_allen,0.8087
360CNN,0.9990
kaiyi0619,0.0770
LolaMotz,0.9997
RemainRevoke,0.8323
jen95873143,0.8702
smp0312,0.9954
SemperArgentum,0.3076
MyPlace4U,0.0180
Bruinou2,0.6544
Anonylyzer13,0.9986
kellywind,0.4653
BobbiefromIL,0.9903
MontyBoa99,0.9912
AscotBlack,0.0209
dutchDemocrat,0.8864
paulcshipley,0.1577
editor_wp,Error
JStormogipson,0.9440
JaxFaux,Error
RRalstonAgile,0.0579
KristianHarstad,0.9936
Getrealorelse,0.9180
matchbox982,0.9548
aetiology,0.0883
MerrillLynched,0.9990
paintsandsings,0.9987
craigbob99,0.9870
AlanBixter,0.5844
trvrb,0.0507
k_helca,0.9886
Musicaypaz5011,0.9776
CollegeTerrace1,0.4287
apuntnoticies,0.1283
MauriceMartin01,0.5384
Tendencio,0.9139
jo_nur_jo,0.3695
JohnTheWhite1,0.7251
RealSexyCyborg,0.2849
We3forDemocracy,0.8856
DaveDemocracy,Error
HorianaNee,0.8229
jkwan_md,0.4329
TheWiseCrow1,0.9224
Darky999,0.8676
katylindemann,0.9970
spookybun,0.2595
CNBCTV18Live,0.2183
CT_Bergstrom,0.9524
DaveKelley6,0.9983
0bFuSc8,0.9371
chawong852,0.8074
KellyOverCorona,0.9993
denisewu,0.2706
AlanVRK,0.8009
ChaunceyGardner,0.6700
Sherlockhome69,0.9921
Laurie_Garrett,0.8984
babarlelephant,0.3573
toad_spotted,0.9034
DagmarUnger,0.9433
FaithfulFortitu,0.9998
deepbarot,0.8425
Hugo_Lz,0.9496
utopianindigent,0.9995
FocusFR_,0.3821
luigi_warren,0.9702
scruffy65,0.9942
lbpyyz,0.7082
RussellSieg,0.9600
darinp2,0.9618
rhiles2760,0.7803
JSAHolmes,0.9717
IMHO1969,0.8929
soloyochapin,0.4259
_NewsView,0.9676
myknittingwool,0.4639
ME_Valentijn,0.9545
LettersfromTim,0.9922
Boston_Grandpa,0.4205
FreedomTVR,0.0336
CynthiaCWoods,0.9946
Pravduh15,0.5395
YossiGestetner,0.9668
ThatVDOVault,0.3983
Cat_Kapow,0.5496
JamieRJN,0.9812
OrRite_Then,0.8045
ngranati,0.6369
happyhexer,0.2361
an_leavy,0.2047
rosenfieldclar1,0.8980
PeterDaszak,0.8363
YayImNotaBot,0.4433
4ReUnitedStates,0.9821
SmartPrepperMom,Error
Tactical_blonde,0.9841
BiotechObserver,0.9975
jonst0kes,0.6415
NYtitanic1999,0.3973
ZemanLynnZ,0.2161
NotATweeter16,0.9992
chargrille,0.9172
humanspan,0.5374
kurteichenwald,0.9882
TheStephenRalph,0.7044
sanchak74,0.7515
2019nCoVwatcher,0.4428
T_Inglesby,0.0539
i4dzn,0.9860
MelissaSweetDr,0.9896
FredWilliams77,0.9998
rhonda_harbison,0.9604
QuinntisG,0.1052
Seattle2019nCov,0.0372
pmagn,0.7649
smc429,0.2407
HenkPoley,0.9560
MomSkelton,0.8311
GailCoastie,0.3938
FirstMainDesign,0.9958
andrew_lilico,0.2188
MedPierre,0.9886
StuartBudd1,0.8373
observatorio14,0.9958
EndGameWW3,0.9849
arapaho415,0.4908
HopesMom12,0.9720
ketaminh,0.9946
JeremyKonyndyk,0.1676
aronro,0.3765
Duktiamat,0.8355
angie_rasmussen,0.0844
christymaginn,0.9785
AmyVernon,0.1193
LaurieFare1,0.7622
PaulLomax,0.2409
ABsteward,0.2255
BrianGoodlife,0.9853
nancysantanello,0.9325
RichardZolotor,0.0377
TheRealSkriver,0.9159
jukka235,0.1463
LgSOS,0.9798
boosulyn,0.2540
5afe_,0.0016
AAC0519,0.5017
hardenuppete,0.8408
LuluLemew,0.9483
Fran_Neena20409,0.9003
HalMarshall2309,0.9410
CarlosdelRio7,0.0367
bhalomanush,0.8344
drea_ams,0.9930
denver_mccomb,0.9583
Nick_Carmody,0.3328
Thomas_Wilckens,0.0160
celinegounder,0.6055
socflyny,0.3054
DavePerrino,0.3887
jamft,0.9980
flowermusickids,0.9148
2dedostesta,0.6165
davegreenidge57,0.0878
Cioccolata234,0.3880
melaniepeppin,0.9399
AnalystHealth,Error
l_lucullus,0.5780
michael_b28,0.0008
MythSerene,0.0570
70sBachchan,0.8679
eturleye,0.7427
Merz,0.7698
YonSolitary,Error
AgnesWold,0.9933
The_Unwoke,0.8451
YarosisNancy,0.0330
Mel4Justice,0.3812
fwdcrocblu,0.2713
hichachu,0.4511
edeysal,0.5448
vivchook,0.9232
awelab1956,0.2514
jorgeluisaliaga,0.1030
PortaSong,0.6465
gojomo,0.2718
BeautyAbounds4U,0.0780
SandDollar04,0.8182
LonsdaleKeith,0.8229
GlenwoodNate,0.0593
les_deplorable,Error
MoNscience,0.3849
Sortex,0.8604
Mingoelddif,0.9995
SIERRAxGIRL,0.5292
Neoavatara,0.9760
Porkchop_EXP,0.9940
Molson_Hart,0.4639
nanogenomic,0.2117
chadloder,0.8975
NorthBelle4,0.8754
askeamonn,0.9886
ChrisitnaG,0.6416
leahmcelrath,0.0704
ElliAdventurer,0.9994
HawkScreams,0.8508
_johnbye,0.9956
hbdchick,0.9386
BadFoxGraphics,0.9157
SafaMote,0.0027
notdred,0.3770
xuchuanmei,0.9629
DanielleFong,0.0947
dollymad1812,0.9911
Bruno_J_Navarro,0.9351
MerlotVine,0.7534
kraster,0.9800
JuliasJam,0.8537
sunnshiiny,0.9994
TheValuesVoter,0.6436
stopcorona2020,0.9871
MicheleD2020,0.0600
ArayAromaz,0.0007
KoenSwinkels,0.8102
ArmonRaE,0.9154
TwinTurboCe1ica,0.9895
TerryLerona,0.4822
EUnotCoup,0.9356
estarianne,0.7056
Aaron_Derfel,0.3955
Clarksterh,0.8126
realhumanrights,0.9762
AviFlyGirl,0.8840
OOrlova,0.6900
IanStockport,0.8431
ASlavitt,0.3878
Crof,0.5672
AlexVita9,0.1042
ManFromMarina,0.0712
thehowie,0.9154
ergroovt,0.4875
2020Smiles,Error
Cannibal_Sauce,0.9981
statesdj,0.7864
Trumpery45,0.7725
amyriscool,0.9440
NewcastleGardia,0.5252
whois_John_Galt,0.9552
abc730,0.0758
murtaman,0.9224
vharrelle71,Error
DeanObeidallah,0.8601
donna_place,0.0155
juliaoftoronto,0.2083
Varro_Analytics,0.6978
JudBock,0.9643
tiger_girl2000,0.8941
cjs3872,0.3539
Fronterakid,0.9039
rainmaki,0.7070
CNNnews18,0.0096
CristinaDragani,0.7966
RedDotUna,0.4053
duanepoole,0.9854
fignon_laurent,0.8625
MataeQ,0.9812
firefoxx66,0.4438
laurence8645,0.5325
Pace1013,0.9872
commanderdata85,0.9992
jlz0z,0.6475
jsheyWC,0.4023
aloa5,0.4896
MihulkaS,0.9844
BolognaFishMD,0.9185
JSegor,0.9997
HarrietteSucher,0.8516
AF632,0.2337
GottaLaff,0.7565
RencapMan,0.1396
NickSzabo4,0.9934
Bob_Wachter,0.0474
EricTopol,0.1694
EthicalSkeptic,0.9273
joannekarma,0.9680
Out5p0ken,0.8652
ConstantRebel55,0.5951
cristo_monte,0.9871
scottleibrand,0.2539
undarkmag,0.6620
KindrachukJason,0.0142
breiterbart,0.9696
pedsscrub,0.9840
JodieHMoss,0.9881
nancylevine,0.9997
COVIDRisk,0.9381
TeaJunkie1,0.3939
jasonmn,0.9999
MurielMccormack,0.5366
EmpathSuper,0.9978
mundo01,0.7515
verycosmic,0.9936
DavidG02986909,0.9871
BoobyJargon,0.6641
donald_j_putin,0.9133
redned59,0.9857
FinchHaven,0.1901
