screen_name,score
JeremyFarrar,0.0425
AdamJKucharski,0.0067
cmyeaton,0.0396
MarionKoopmans,0.9410
nataliexdean,0.0682
angie_rasmussen,0.4099
florian_krammer,0.0492
EricTopol,0.5509
T_Inglesby,0.0539
aetiology,0.8700
PeterHotez,0.3502
amymaxmen,0.9520
mvankerkhove,0.1932
DrTomFrieden,0.2454
sciencecohen,0.3827
michaelmina_lab,0.8607
alexandraphelan,0.0088
devisridhar,0.1801
neil_ferguson,0.2595
Laurie_Garrett,0.9827
BhadeliaMD,0.5775
BogochIsaac,0.5934
ChristoPhraser,0.0051
carlzimmer,0.9339
gregggonsalves,0.3561
CT_Bergstrom,0.8047
maiamajumder,0.0161
arambaut,0.0135
ashishkjha,0.0482
firefoxx66,0.0299
mugecevik,0.0474
SaskiaPopescu,0.9203
BillHanage,0.4146
VirusesImmunity,0.3969
RWalensky,0.0263
K_G_Andersen,Error
ScottGottliebMD,0.2244
richardhorton1,0.2411
marynmck,0.3475
SCBriand,0.0550
PeterDaszak,0.5715
gmleunghku,0.0074
doctorsoumya,0.0160
JeremyKonyndyk,0.2737
GaviSeth,0.0317
DrMikeRyan,0.7298
johnbrownstein,0.0551
Atul_Gawande,0.0170
Craig_A_Spencer,0.2674
KrutikaKuppalli,0.6803
jennifergardy,0.5187
CarlosdelRio7,0.0350
RebeccaKatz5,0.2670
onisillos,0.2681
ASlavitt,0.3196
Chikwe_I,0.0392
EckerleIsabella,0.1989
martinenserink,0.0034
paimadhu,0.0837
JenniferNuzzo,0.1795
edwardcholmes,0.6709
GYamey,0.9957
EpiEllie,0.0585
ProMED_mail,0.8859
SaadOmer3,0.0714
simonihay,0.0346
DFisman,0.9668
syramadad,0.2041
apoorva_nyc,0.0583
juliaoftoronto,0.2513
trevormundel,0.0034
LawrenceGostin,0.1979
JustinLessler,0.0010
KizzyPhD,0.1279
larrybrilliant,0.1322
celinegounder,0.7730
pathogenomenick,0.0624
chngin_the_wrld,0.1486
KindrachukJason,0.0966
EvolveDotZoo,0.1505
IDEpiPhD,0.1371
MOUGK,0.0012
AmeshAA,0.0276
NathanGrubaugh,0.0032
dylanbgeorge,0.1071
c_drosten,0.0416
JuliaLMarcus,0.6779
lmadoff,0.0240
NIHDirector,0.0363
vivek_murthy,0.0045
PeterASinger,0.3125
joshmich,0.0491
RonaldKlain,0.5429
profvrr,0.1797
phylogenomics,0.0360
AbraarKaran,0.0415
gabbystern,0.4543
BethCameron_DC,0.0190
svscarpino,0.0150
zeynep,0.5139
RickABright,0.0032
rvenkayya,0.0480
melindagates,0.0010
bmj_latest,0.8467
jburnmurdoch,0.1607
MaxCRoser,0.1446
alexvespi,0.0018
C_Althaus,0.0351
arimoin,0.1280
richardneher,0.0035
sarahcobey,0.0910
choo_ek,0.2274
DrLeanaWen,0.4704
eliowa,0.0584
bethlinas,0.2864
Crof,0.3501
SRileyIDD,0.0183
yhgrad,0.0145
Alison_Galvani,0.5892
ChelseaClinton,0.0230
Bob_Wachter,0.0590
jeremyfaust,0.9278
Dr2NisreenAlwan,0.7218
PaulSaxMD,0.0083
PardisSabeti,0.0071
nicolamlow,0.1109
megan_b_murray,0.0063
matthewherper,0.9019
meganranney,0.2039
LizSzabo,0.4328
marcelsalathe,0.0278
bylenasun,0.6876
OutbreakJake,0.2986
EIDGeek,0.9773
EpsteinJon,0.0198
DrJayVarma,0.0666
OWMorgan,0.9677
sdwfrost,0.0056
uche_blackstock,0.4195
BallouxFrancois,0.7026
GidMK,0.5196
JNkengasong,0.1629
glassmanamanda,0.2557
rozeggo,0.0057
TAlexPerkins,0.0042
NateSilver538,0.1626
NickKristof,0.5693
DoctorYasmin,0.9920
KatherineJWu,0.4476
TheMenacheryLab,0.0011
igoodfel,0.2568
bansallab,0.0012
jw132,0.2464
ddiamond,0.2874
youyanggu,0.0208
mbeisen,0.7125
profshanecrotty,0.0838
DreJoanneLiu,0.1238
AshTuite,0.0669
KarenGrepin,0.0011
IsabelOtt,0.9630
VignuzziLab,0.0118
bencowling88,0.5370
TomBollyky,0.1575
betzhallo,0.0469
gail_carson,0.3072
Declan_M_Butler,0.4552
datcummings,0.1131
drsanjaygupta,0.2363
alexismadrigal,0.6440
NAChristakis,0.9797
mtosterholm,0.0188
linseymarr,0.0081
ZekeEmanuel,0.5937
MSFsci,0.1211
MCBazacoPhD,0.8863
GlobalBioD,0.7672
RanuDhillon,0.4437
jocalynclark,0.4961
stgoldst,0.5642
LauringLab,0.0095
CJEMetcalf,0.0010
rd_blueprint,0.2075
jLewnard,0.0208
maggieNYT,0.7863
trishgreenhalgh,0.2649
MoetiTshidi,0.0417
GermHunterMD,0.3923
ProfMattFox,0.1999
sherifink,0.7337
drJoshS,0.0951
clarewenham,0.1283
jessicamalaty,0.3569
DrJudyStone,0.3650
DiseaseEcology,0.0224
PeterHorby,0.4005
macroliter,0.6876
PergamIC,0.4213
MMKavanagh,0.0273
nmrfaria,0.0006
joel_mossong,0.1063
jd_mathbio,0.6508
picardonhealth,0.3253
j_g_allen,0.2879
llborio,0.2541
JInterlandi,0.0226
thelonevirologi,0.6503
sbfnk,0.0070
CarolineColijn,0.3729
ezraklein,0.5819
globalhlthtwit,0.9843
CaulfieldTim,0.9895
DrRichBesser,0.5039
dgurdasani1,0.9195
maggiemfox,0.1088
DavidQuammen,0.6690
RELenski,0.2528
ChrisJElias,0.0205
ArisKatzourakis,0.0175
wormmaps,0.0611
PathogenScribe,0.1087
EdWhiting1,0.0571
joel_c_miller,0.0140
helleringer143,0.1196
dmaccannell,0.0698
AOC,0.9930
SueDHellmann,0.0452
rkhamsi,0.6613
baym,0.0226
_b_meyer,0.0141
globalgamechngr,0.0007
Tuliodna,0.0187
reichlab,0.0231
AineToole,0.0051
jenkatesdc,0.3433
npariente,0.0067
GermsAndNumbers,0.0791
DrSamira_Asma,0.2151
TeebzR,0.0175
mpkieny,0.6534
DeirdreHoll,0.0002
CMO_England,0.5237
JeffDSachs,0.8227
juliettekayyem,0.9247
CarolineYLChen,0.8755
davidnabarro,0.0010
UKAMREnvoy,0.1870
RebeccaDRobbins,0.4594
RoopaDhatt,0.2196
stefanswartpet,0.7284
Ryan_Mac_Phd,0.3190
TimLaheyMD,0.0636
ZaminIqbal,0.0002
OrinLevine,0.0518
DanLarremore,0.0096
MattFrieman,0.4014
Iplaywithgerms,0.0197
greg_folkers,0.3596
jmayer0716,0.0206
robyn_s_lee,0.0756
