screen_name,score
ColArchon,0.9334
LFConaction,0.9869
ClaraLuzzzz,0.9957
JudexXavier,0.9964
MaajidNawaz,0.7153
YALiberty,0.9916
MCookerson,0.9747
Pepesplants,0.9996
InvictaCrypto,0.9981
Georgia47089544,0.9963
MarkCon44924717,0.9988
jazzybry5,0.9943
Keef_uh,0.9581
mythbustercmss,0.9938
Belicious_75,0.9908
xformed,0.9121
YonahLieberman,0.8684
SFdirewolf,0.8486
rorstill,0.2163
melaniedoak,0.1619
PippaTaLula,0.9909
Truth573,0.6315
Xavier17894480,0.9295
nelsonsabrina,0.7548
Euringer,0.9987
RaiseToLight,0.9999
14Rev17,0.9957
tubegirl75,0.9992
CampariWithSoda,0.9985
organichockeyg2,0.9902
sheridansucks,0.9003
RedPill11422581,0.8932
Caring_Canuck,0.9998
Violets4roses,0.9977
RaiseToLight,0.9999
UT_Eagle_Forum,0.9629
veroniquepoir12,0.9939
qooldad1978,0.9993
TomthorpM,0.9624
Takeactioncan,0.9946
ModeLydian,0.8022
Ireland2020,0.9768
SuperMiles5,0.9971
Rank_Success,0.2496
Lanigirl2011,0.9983
SassyNinja22,0.3093
RebekahsRight,0.9974
tebz1423,0.9996
jlrealww,0.9956
RadixSant,0.9819
BusyLiz81677483,0.9999
pepsiholic1990,0.9866
soclose2me,0.9976
MariaLe11512458,0.9948
2fp_s,0.9996
sdevi74,0.9987
mandyjean626,0.9982
Trie_kaka,0.4798
libertytarian,1.0000
joesmyth474,0.9877
CoronapassCy,0.9981
Borbet3,0.9998
TuronianHighs,0.8423
HseThistleRose,0.8899
drjootz,0.1249
kit10phish,0.1495
sixtyfo16744883,0.6014
SusiAnsujali,0.1221
strummaster42,0.9983
TomTSEC,0.9990
basedaust,0.9789
SpaceFromGreece,0.8360
vishal_klc,0.3737
BadBilly53,0.9996
Adopt_A_Rescue,0.7999
BlancheMedia,0.9992
LeonardRoxon,0.9981
ERNurse4You,0.9866
JulaniJulani,1.0000
blukas9776,0.9811
JuliaJules19,0.9774
highonup,0.9985
IDontBelieveY0u,0.9891
JamesfWells,0.7611
RebekahsRight,0.9985
tassierevival,0.9859
realDrMHobart,0.4467
Mark___Andrews,0.9941
ChildrensHD,0.9107
WraithCustoms,0.8495
Manifest_Utopia,0.9717
TheGhqst,0.6998
VCBestor,0.9925
slafrenaye,0.9914
mymagicworlddd,0.9997
Hrithik94018789,0.4491
CrymesTammy,0.9970
Bitcoin_ator,0.9935
ilknur71397335,0.9800
JamesSemrow,0.4650
RabsonMp,0.7833
ros2000ni,0.9761
anka_bali,0.9984
anatoliygula,0.9897
SMKBULLY,0.0021
C3135731599,0.8437
Harribo891,0.9998
RoySilos,0.9983
Vitvitijs,0.7626
jmanfaggot,0.8530
Mar36911,0.4014
StasakPamela,0.9520
ipharaoh_1994,0.3466
