userid,user_screen_name
1724568876,angrynationalis
1057088310726651904,IFilonczuk
1117882918049865730,CharismaAlasta1
30849514,Dorunda
61008996,ajividen73
1055930895125938177,quingem
857100528,patriot7842
1191012774417186817,Sorothavy
1231930030676115456,GiancanaSonny
90416991,ForLoveofaBoy
3406444775,JohnWalshOnline
1017383741403156480,JoeAPisano
232589497,mlw975
1040071350512050176,gnoBREAKTHROUGH
816641094616236032,Ramesh13145522
1152076413425475586,Texas_Sugar
1100683671399321602,ivriblack
43730427,MsAnuJohanna
521996289,Lilymackay19
1235904665138671616,spinyhinny
1240329139644555264,sandoly
98974716,DrdaveAnddee
816096556600307712,StephaniePalosP
860620797999808512,Barefoot_Hippi
986813036269850625,LucyMatilda7
3927610036,lkovalik
825074418011471874,MichellePoulte6
782395015527927809,languillem
894609708,crazyaboutbook7
28261726,DianeWhitlock12
863275092,TruthTeam101
798743102974468097,PJMoore1958
1152577405376184325,me_sheer_
712385414858813441,DR0818
1608928644,cyl_info
578491631,_bhickman
479135165,doreen_flash
278570134,KristiM16732568
1209483347635900416,JcHimalaya2625
876339662,prkroll1
636681947,CaliVaxChoice
1112583419777683458,LofasJohn
932404909,evagingras
281632706,jeffreymadwisc
759815058,Holly02375824
2516329976,GoodAppleClub
459619854,rodello437_
847832533,critica18495985
826133244823367686,LynnNel58681036
1370523882189324295,IndigoWellnessC
338276129,copecorabel
860951970,Neurs4You
4685174239,micharu333
189806241,barneyhofman
1860776670,Phoenix_Firez
2675586505,bev768
21316539,StrandPeter
1083629018379898880,Parkerlator
245750555,BlueEyedEagle_
105130967,annika1021
1005120056,vivienne_lester
1208508550579970048,CaligirlLeftie
1220226097327099906,dotbuhler
952039998,psipika
1265643958945886209,HaTTrickTYL3R
3147430363,go_howl
3265778538,Ay5e1
1228669088391745536,mutalabala
4736648423,VgnNutrition46
3054506993,Bekkaa103
150340773,nicole1916_eire
2409506407,margweston
908024304339734528,FFree999
1293203556636463110,maryamlime
35196174,juliekphansen
259309785,constanzag77
824342652443193345,lulu111593
254142855,Makedni
474626406,debrose1720
64020502,LanternBlue2
225825259,AntonioFardella
2873829677,WakeTheFlockUp6
1192848654463193089,Athbheochan
950147467806375941,DmCrazmatic
1149552279785107456,Godwins37520326
931488516,werocktheplanet
1080072106841436161,war_turtel
1238423162645147648,DJKatie888
2619880967,unsilentwitness
381495611,renaztweet
105890101,conscious_bkr
771556891109437440,Conway2nd
1159536750374600705,orvskid
1151512982289035265,Wordofbeak
598966156,Lloydhart13
924096328132644869,GBilleci9
1085083091406733312,FMahmoodsgroup
701586243197341696,ziyadtarik
2335665432,ConjuredRundown
862401661687537664,littleLishka
183931586,Trinity73599448
854941337933807616,mairn_pap
63280478,tanyacoleart
260920761,Time4ChangeCnda
1285621187729666048,bloody_scandal
27007685,Stach83092936
1280044166689386496,JimSatone
255531287,benstahl3
168100032,CraigOtto5
923358253001699328,WortmanLewis
1259820980832276481,cielciel99999
840194109017075714,infomorsels
62483738,awoken36
1285295149082447872,RoyGarayDavila7
793745203,dexoshay777
57743707,miraforeman
860242916110815232,WesternPAJon
2696559764,AmbermireG
371504522,ronthorp
1157691034366816257,Tweetie72380220
18512249,loyddaroyd
2942221865,seb293
3074138622,lauravn1987
479811706,susananderton5
186110536,summerbreeze712
117841375,LatitudeGezi
1256491617084637189,Pixty3
711734688,debrose1921
34630086,renegadestyle
756278248263278596,RobertForest16
473526896,DrEmbrace
746411866436448256,originator39
256758732,16Suse
2795342280,Rainmaking
1039894712856002562,DianaBardsley
1104759620495704064,f_rd1
851019624565092352,jadzia_1
252198444,Iconoclastttt
138917150,RoySilos
824687937233293313,tjlitke
3294805986,Truth_Seeker71
2327864228,NicaRozier
141570444,antokindness
2270413154,AneSell00
18625601,v2entura
389149189,kristinstrong36
2517872600,marycinta
855626217948676096,gallantbl
1105820757052063745,Just4TheCause
1190584502302593024,camilocammas
425108176,Exvaxxer_Mommy
357753264,claudechampagn7
38294239,LT_2011
922903742663548931,rainafortini
885519710795726849,Lori20052008
1189184489517248513,ThomasMihailos
2827619639,KandiFlipr
470347179,ivanpdrn
1262271337671917568,shemp357
2705328054,Besolutionaries
2695793204,PFerreira71
90379747,theGodcasting
1305255353370771458,gwtj35
524842381,AmandaD_1980
127354219,meld86407242
2682151194,S83118579
130525384,JilliBean50
63977837,sashagladio
1370035620836433924,BellHappe
74815670,crystalbeam
1231987976084705281,Uranian39
19362433,dan_hanke
2232152180,BlessYourHouse
4493407671,Kater_KSG
1319651596846977024,teresitadl3500
485992574,amyharlib
231823813,ClaudLpzNieblas
173334737,R3ALkeyserSoeze
1957200348,jmd72508083
25328560,CindyBlass
