userid,user_screen_name
53275860,AnaLauraDeLeonM
701122650261815298,OmneyaGaafar
846033602706006016,kimsensbouck
245943977,MasterPlan216
381311273,greggypoo65
1355590698645540865,littleS37471944
596902486,TinesWes
3074560906,Piratenorthof40
34768274,Efesini6
957370769314590720,new_atlantic
1350085164026781696,shudup_n_fixit
310920557,LisaAnn21123688
429986185,FrankLillyPM
11345582,Cyber2ss
25885664,HealingMindN
788648272608964608,blisout
878352885720993792,gorgeoustruths
251505832,nikki_koons
1214132021565390848,RealSwade
50105532,FrogRoast
1297685186533040128,susanblanda
745487371,likerofSocrates
328068660,reef_scientist
828807991864463361,Lanie13918645
1087816414646415360,zapita_heaven
1302338090749571072,luvnewprez
1942675825,GBrakourakis
22255886,AlliumEmily
513769602,equityliberty
396000262,SoapBox21
1247459572614381569,GlennHutton
1236031448101974016,bigpharmaharmer
840139068,ThoughtCriMeme
1344115574050181121,shaunitodayy
549771075,TonyaLy07474119
46143326,dividends24_7
2833217156,548cc
249000344,Dijkinho
815363480073150465,PGublerCPA
633916441,max__myles
3653148612,MichaelJRIch
2866548933,amglive
985522881328115712,AurelianoLucio
344960248,AquilesCer
961930662,ResetNLSP
1288009207,jay_meller1
784903714045829121,tatella123
1252394821383327744,KorieSchultz
878576684441751553,shake0007
953761050532433923,cee_jay_05
1095031124722704384,DrRueckauf
954562907785723904,CherryberrySoul
3310254106,bosko_stephen
2564171462,melissajanae33
29966996,EqualOppSociety
1252829972705587203,Silent_Phart
1016029086,RES9364
68639991,ZafiroJones
2925977794,dwightd6
1299013754080944136,Yolo304741
369870847,Person66036447
222835287,ConstantinLeFev
1400997101706883079,soli61
1289006530369654787,1_fineapple
1338509888599703572,AcuLinda
1172290743001444352,BibleAnarchist
1276920397552775168,iamshinerk
21098901,iamcaitcorrigan
204513531,ModersonSusan
730820461,GMilduras
595528991,JakeMoo22377928
1329038943480926212,RC510307
175795713,Cherelynn
139745381,duncmora
215701784,GrainneG90
178232832,FL_MJB
16519783,rebekahisback2
863233182,GrandmaC_LOVE
360282224,tofueatstiff
1191261204850675712,phyllisring
1146792427786817538,RealVeganPapa
1299335478538170369,brbrjmsbrnts
399837603,StoneFree2Rant
792128411124715521,dia_2008
1564130210,C75797060
