userid,user_screen_name
2822179332,MukherjeeDina
22795984,YayDonovan
1154754774182420481,liaxhyo
234802971,Myriam_Sidibe
18248148,romyfeghali
144263791,iamcornflower
62907283,dalt_O
1109460005609267201,a__hker
119925075,mujerpescado
756096215956226048,RafaelaKioteogl
255911865,victormbarroso
36809882,Veroniqueb9
68625516,Iloveuarmy123
823583545100816390,Dr_moh85
1123492894508310528,ReneUpshaw1
912777090,KimKierkegaard
780384414228447233,TriciaArvel
28971460,aisell4927
706854044845940739,NervousndNerdy
589394986,psamarkand
633220771,wallabug
329649863,Eternally_Erin
18799874,LauraMayBennett
3283985028,alex
1873771620,zact554
1225875651040862214,PenelopeTina
2974785586,gvdgoot
1179004022688235524,SueBarnes22
21025406,AnnBrenoff
304468823,91SRJ
5691852,ClaireM64052436
58627467,hiemakene
187191266,liverpoolroo
113516847,jamesvautin
888685478,moritzbernoully
4069524622,eight_2_6
79269146,Diego_Alvarez18
915823166,KateHaus11
1255592104128122880,fuchouzhifeng
1113885993571180545,patriciavivette
25061763,parksidefilms
40499208,Lily_Chen
107397593,crdec123
829872503493308416,FilmsForChange
966749406753046529,JAYcarreon6
573898159,irelandseye1
127685926,kc_shaw
1499930857,WillyvdSteen
174982958,KPopDragon53
770734072553467904,WilliamSpikes15
852380873576009729,HOLTKAMPNL
1611392006,pigs_meat
1194253795141668864,bangbima97
137805623,Johnny4by4
139904469,CAGRustyRyan
36442519,DocKimResists
51787995,ArmenYuri
2617507520,CartoonRalph
17533064,MicheleJeanson1
245266811,DailyGrumbles
3106757425,tereheda
115850498,baseball069
2878728185,TheWeaver71
76755128,Susan9587
806543434072793088,marbleleon
765941712351027200,CydonPrax
490355626,rebeccahritchie
2167131644,bill_ohreally
539211368,MaryNesham
365616742,lmbp6
701084530124263424,scarebaby
1178980187125342208,PeterSForbes
267682358,kespineira
1217866581805600771,SurlyBobbys
2183520866,NanceDee
359384872,Splatterman36
27975701,DorisGrinspun
2797301949,NigelLivesley
28480819,BerRedinger
2438751,miragv
1045102968,Izziebettz2
1251213694245240832,scarletfromNJ
95992322,NotHandJobBetty
824801291226447872,reraku
799640809003945984,blackbonvivant
239880360,366158
355069227,Loramer123
193175110,JerrBea88279704
2379287563,purplebraingal
1730049950,immamommy2
53274985,BethGall6495
2235560856,Gas_Air_CCdoc
560437460,Xander_PhD
